percentile,asset,strategy,total_return,sharpe,max_dd,calmar,exposure
0.1,ETH/USDT,V21,0.2879265126797752,1.257365852653976,-0.08693607778813282,2.42202209740491,0.10482758620689656
0.1,ETH/USDT,V20.9,-0.3647983666615189,-0.5653741997463883,-0.6008233719856135,0.0,1.0
0.1,BTC/USDT,V21,0.2879265126797752,1.257365852653976,-0.08693607778813282,2.42202209740491,0.10482758620689656
0.1,BTC/USDT,V20.9,-0.3647983666615189,-0.5653741997463883,-0.6008233719856135,0.0,1.0
0.1,SOL/USDT,V21,0.2879265126797752,1.257365852653976,-0.08693607778813282,2.42202209740491,0.10482758620689656
0.1,SOL/USDT,V20.9,-0.3647983666615189,-0.5653741997463883,-0.6008233719856135,0.0,1.0
0.15,ETH/USDT,V21,0.4874714842535517,1.27036303864672,-0.15086227900289023,2.3178272192337723,0.20413793103448277
0.15,ETH/USDT,V20.9,-0.3647983666615189,-0.5653741997463883,-0.6008233719856135,0.0,1.0
0.15,BTC/USDT,V21,0.4874714842535517,1.27036303864672,-0.15086227900289023,2.3178272192337723,0.20413793103448277
0.15,BTC/USDT,V20.9,-0.3647983666615189,-0.5653741997463883,-0.6008233719856135,0.0,1.0
0.15,SOL/USDT,V21,0.4874714842535517,1.27036303864672,-0.15086227900289023,2.3178272192337723,0.20413793103448277
0.15,SOL/USDT,V20.9,-0.3647983666615189,-0.5653741997463883,-0.6008233719856135,0.0,1.0
0.2,ETH/USDT,V21,0.4874714842535517,1.27036303864672,-0.15086227900289023,2.3178272192337723,0.20413793103448277
0.2,ETH/USDT,V20.9,-0.3647983666615189,-0.5653741997463883,-0.6008233719856135,0.0,1.0
0.2,BTC/USDT,V21,0.4874714842535517,1.27036303864672,-0.15086227900289023,2.3178272192337723,0.20413793103448277
0.2,BTC/USDT,V20.9,-0.3647983666615189,-0.5653741997463883,-0.6008233719856135,0.0,1.0
0.2,SOL/USDT,V21,0.4874714842535517,1.27036303864672,-0.15086227900289023,2.3178272192337723,0.20413793103448277
0.2,SOL/USDT,V20.9,-0.3647983666615189,-0.5653741997463883,-0.6008233719856135,0.0,1.0
0.25,ETH/USDT,V21,0.3490136916680251,0.5636416422534065,-0.37988340645844354,0.6677691662465359,0.44241379310344825
0.25,ETH/USDT,V20.9,-0.3647983666615189,-0.5653741997463883,-0.6008233719856135,0.0,1.0
0.25,BTC/USDT,V21,0.3490136916680251,0.5636416422534065,-0.37988340645844354,0.6677691662465359,0.44241379310344825
0.25,BTC/USDT,V20.9,-0.3647983666615189,-0.5653741997463883,-0.6008233719856135,0.0,1.0
0.25,SOL/USDT,V21,0.3490136916680251,0.5636416422534065,-0.37988340645844354,0.6677691662465359,0.44241379310344825
0.25,SOL/USDT,V20.9,-0.3647983666615189,-0.5653741997463883,-0.6008233719856135,0.0,1.0
0.3,ETH/USDT,V21,0.3490136916680251,0.5636416422534065,-0.37988340645844354,0.6677691662465359,0.44241379310344825
0.3,ETH/USDT,V20.9,-0.3647983666615189,-0.5653741997463883,-0.6008233719856135,0.0,1.0
0.3,BTC/USDT,V21,0.3490136916680251,0.5636416422534065,-0.37988340645844354,0.6677691662465359,0.44241379310344825
0.3,BTC/USDT,V20.9,-0.3647983666615189,-0.5653741997463883,-0.6008233719856135,0.0,1.0
0.3,SOL/USDT,V21,0.3490136916680251,0.5636416422534065,-0.37988340645844354,0.6677691662465359,0.44241379310344825
0.3,SOL/USDT,V20.9,-0.3647983666615189,-0.5653741997463883,-0.6008233719856135,0.0,1.0
0.4,ETH/USDT,V21,0.3490136916680251,0.5636416422534065,-0.37988340645844354,0.6677691662465359,0.44241379310344825
0.4,ETH/USDT,V20.9,-0.3647983666615189,-0.5653741997463883,-0.6008233719856135,0.0,1.0
0.4,BTC/USDT,V21,0.3490136916680251,0.5636416422534065,-0.37988340645844354,0.6677691662465359,0.44241379310344825
0.4,BTC/USDT,V20.9,-0.3647983666615189,-0.5653741997463883,-0.6008233719856135,0.0,1.0
0.4,SOL/USDT,V21,0.3490136916680251,0.5636416422534065,-0.37988340645844354,0.6677691662465359,0.44241379310344825
0.4,SOL/USDT,V20.9,-0.3647983666615189,-0.5653741997463883,-0.6008233719856135,0.0,1.0
0.5,ETH/USDT,V21,0.7539643821419912,0.9465090011179748,-0.3024947768909588,1.7472808413909202,0.5075862068965518
0.5,ETH/USDT,V20.9,-0.3647983666615189,-0.5653741997463883,-0.6008233719856135,0.0,1.0
0.5,BTC/USDT,V21,0.7539643821419912,0.9465090011179748,-0.3024947768909588,1.7472808413909202,0.5075862068965518
0.5,BTC/USDT,V20.9,-0.3647983666615189,-0.5653741997463883,-0.6008233719856135,0.0,1.0
0.5,SOL/USDT,V21,0.7539643821419912,0.9465090011179748,-0.3024947768909588,1.7472808413909202,0.5075862068965518
0.5,SOL/USDT,V20.9,-0.3647983666615189,-0.5653741997463883,-0.6008233719856135,0.0,1.0
