timestamp,asset,pred_proba,edge_on,bar_return,v21_return,v209_return,equity_v21,equity_v209
2025-01-01 00:00:00,ETH/USDT,0.21961443892286145,True,0.00533122622514228,0.00533122622514228,0.00533122622514228,10053.454624993634,10053.454624993634
2025-01-01 04:00:00,ETH/USDT,0.21961443892286145,True,-0.0025186299321677736,-0.0025186299321677736,-0.0025186299321677736,10028.165553528037,10028.165553528037
2025-01-01 08:00:00,ETH/USDT,0.21961443892286145,True,-0.001737489988991004,-0.001737489988991004,-0.001737489988991004,10010.756844379326,10010.756844379326
2025-01-01 12:00:00,ETH/USDT,0.21961443892286145,True,0.003656879239530658,0.003656879239530658,0.003656879239530658,10047.431990675406,10047.431990675406
2025-01-01 16:00:00,ETH/USDT,0.21961443892286145,True,0.0010640756288988144,0.0010640756288988144,0.0010640756288988144,10058.128908345096,10058.128908345096
2025-01-01 20:00:00,ETH/USDT,0.21961443892286145,True,0.0010629445753747469,0.0010629445753747469,0.0010629445753747469,10068.825826014785,10068.825826014785
2025-01-02 00:00:00,ETH/USDT,0.1813247272838075,False,0.008348038458389403,0.0,0.008348038458389403,10068.825826014785,10153.232596534439
2025-01-02 04:00:00,ETH/USDT,0.21961443892286145,True,0.009235525816817355,0.009235525816817355,0.009235525816817355,10162.247461808825,10247.437384079269
2025-01-02 08:00:00,ETH/USDT,0.1813247272838075,False,0.014833919512183977,0.0,0.014833919512183977,10162.247461808825,10400.580090549256
2025-01-02 12:00:00,ETH/USDT,0.1813247272838075,False,-0.0022381052368258257,0.0,-0.0022381052368258257,10162.247461808825,10377.328527211219
2025-01-02 16:00:00,ETH/USDT,0.1813247272838075,False,-4.042422335518464e-05,0.0,-4.042422335518464e-05,10162.247461808825,10376.90904024378
2025-01-02 20:00:00,ETH/USDT,0.1813247272838075,False,-0.002008830857125874,0.0,-0.002008830857125874,10162.247461808825,10356.084508645923
2025-01-03 00:00:00,ETH/USDT,0.1813247272838075,False,0.0040222795237392014,0.0,0.0040222795237392014,10162.247461808825,10397.823461906084
2025-01-03 04:00:00,ETH/USDT,0.17606557686630667,False,-0.010769038436769171,0.0,-0.010769038436769171,10162.247461808825,10286.449672051078
2025-01-03 08:00:00,ETH/USDT,0.17606557686630667,False,0.009532026541835598,0.0,0.009532026541835598,10162.247461808825,10384.969182689565
2025-01-03 12:00:00,ETH/USDT,0.17606557686630667,False,0.028155328490595075,0.0,0.028155328490595075,10162.247461808825,10681.516505313997
2025-01-03 16:00:00,ETH/USDT,0.17606557686630667,False,0.01612518540284193,0.0,0.01612518540284193,10162.247461808825,10855.154146478853
2025-01-03 20:00:00,ETH/USDT,0.17606557686630667,False,-0.003766597373487701,0.0,-0.003766597373487701,10162.247461808825,10814.344057218019
2025-01-04 00:00:00,ETH/USDT,0.17606557686630667,False,-0.0031052349089214096,0.0,-0.0031052349089214096,10162.247461808825,10780.81506317773
2025-01-04 04:00:00,ETH/USDT,0.17606557686630667,False,-0.0011373892167506378,0.0,-0.0011373892167506378,10162.247461808825,10768.560051057553
2025-01-04 08:00:00,ETH/USDT,0.17606557686630667,False,0.002248500442173718,0.0,0.002248500442173718,10162.247461808825,10792.800405104555
2025-01-04 12:00:00,ETH/USDT,0.17606557686630667,False,0.001667127061397356,0.0,0.001667127061397356,10162.247461808825,10810.808381349609
2025-01-04 16:00:00,ETH/USDT,0.17606557686630667,False,0.006326931749668937,0.0,0.006326931749668937,10162.247461808825,10879.424463880672
2025-01-04 20:00:00,ETH/USDT,0.17606557686630667,False,0.00712701928224133,0.0,0.00712701928224133,10162.247461808825,10957.239296340575
2025-01-05 00:00:00,ETH/USDT,0.17606557686630667,False,-0.005178993517975923,0.0,-0.005178993517975923,10162.247461808825,10900.63851909115
2025-01-05 04:00:00,ETH/USDT,0.17606557686630667,False,-0.0016533772131400793,0.0,-0.0016533772131400793,10162.247461808825,10882.630542846098
2025-01-05 08:00:00,ETH/USDT,0.17606557686630667,False,-0.0050153366538996,0.0,-0.0050153366538996,10162.247461808825,10828.187127143501
2025-01-05 12:00:00,ETH/USDT,0.17606557686630667,False,0.004403912926484344,0.0,0.004403912926484344,10162.247461808825,10875.97867807671
2025-01-05 16:00:00,ETH/USDT,0.17606557686630667,False,0.002160342201662262,0.0,0.002160342201662262,10162.247461808825,10899.499911608102
2025-01-05 20:00:00,ETH/USDT,0.17606557686630667,False,-0.00044544655378003545,0.0,-0.00044544655378003545,10162.247461808825,10894.645848127737
2025-01-06 00:00:00,ETH/USDT,0.17606557686630667,False,0.0078077454583711,0.0,0.0078077454583711,10162.247461808825,10980.041409356354
2025-01-06 04:00:00,ETH/USDT,0.17606557686630667,False,-0.003690807800668265,0.0,-0.003690807800668265,10162.247461808825,10939.590880353326
2025-01-06 08:00:00,ETH/USDT,0.17606557686630667,False,0.0010813135042013861,0.0,0.0010813135042013861,10162.247461808825,10951.426405506065
2025-01-06 12:00:00,ETH/USDT,0.17606557686630667,False,0.0160297857321871,0.0,0.0160297857321871,10162.247461808825,11128.389979055613
2025-01-06 16:00:00,ETH/USDT,0.17606557686630667,False,-0.007201420058048499,0.0,-0.007201420058048499,10162.247461808825,11048.537638468151
2025-01-06 20:00:00,ETH/USDT,0.17606557686630667,False,5.423802357982371e-05,0.0,5.423802357982371e-05,10162.247461808825,11049.136905564494
2025-01-07 00:00:00,ETH/USDT,0.17606557686630667,False,-0.0014844709990866286,0.0,-0.0014844709990866286,10162.247461808825,11032.74695047956
