timestamp,asset,price_close,proba_high,position_size,pnl,virtual_balance,current_dd,exposure_scaled,drift_reduced,latency_ms,realized_vol,vol_ratio,dd_scalar,features_hash
2026-04-28T00:36:13.861302Z,ETH/USDT,2303.740000,0.174214,0.289025,0.00,10000.00,0.000000,False,False,876,0.532855,0.500000,1.000000,114c2642
2026-04-28T00:36:14.665916Z,BTC/USDT,77371.200000,0.019182,0.350000,0.00,10000.00,0.000000,False,False,803,0.120000,1.000000,1.000000,c6c881b6
2026-04-28T00:36:15.449216Z,SOL/USDT,84.820000,0.056304,0.019706,0.00,10000.00,0.000000,False,False,783,0.532850,0.500000,1.000000,0eeec339
2026-04-28T04:02:37.339370Z,ETH/USDT,2290.710000,0.121779,0.394085,-17.40,9982.60,-0.001740,False,False,6745,0.528927,0.500000,1.000000,4665b1a8
2026-04-28T04:02:38.116084Z,BTC/USDT,76811.500000,0.024424,0.455000,-26.37,9973.63,-0.002637,False,False,776,0.120000,1.000000,1.000000,7169d6e2
2026-04-28T04:02:38.900452Z,SOL/USDT,84.180000,0.045526,0.021846,-1.51,9998.49,-0.000151,False,False,784,0.531639,0.500000,1.000000,fbf26553
2026-04-28T08:02:31.536302Z,ETH/USDT,2287.990000,0.144555,0.406583,-4.74,9977.87,-0.002213,False,False,1394,0.528525,0.500000,0.996520,367b1cd1
2026-04-28T08:02:32.306688Z,BTC/USDT,76879.600000,0.026337,0.472876,3.15,9976.78,-0.002322,False,False,768,0.120000,1.000000,0.994726,8ba8a557
2026-04-28T08:02:33.079175Z,SOL/USDT,84.030000,0.044651,0.021641,-0.37,9998.12,-0.000188,False,False,772,0.531229,0.500000,0.999698,4edaa05b
2026-04-28T12:02:30.808353Z,ETH/USDT,2275.510000,0.164750,0.398854,-20.02,9957.84,-0.004216,False,False,798,0.528243,0.500000,0.995573,9fb3037c
2026-04-28T12:02:31.583759Z,BTC/USDT,76230.400000,0.034906,0.473736,-35.91,9940.87,-0.005913,False,False,775,0.120000,1.000000,0.995356,f48dcd29
2026-04-28T12:02:32.361746Z,SOL/USDT,83.420000,0.031862,0.016909,-1.42,9996.70,-0.000330,False,False,777,0.522534,0.500000,0.999624,c95552d1
2026-04-28T16:02:30.842759Z,ETH/USDT,2279.930000,0.230901,0.373624,6.79,9964.63,-0.003537,False,False,832,0.527809,0.500000,0.991569,5252026d
2026-04-28T16:02:31.640073Z,BTC/USDT,76067.200000,0.024599,0.472170,-9.53,9931.35,-0.006865,False,False,797,0.120000,1.000000,0.988174,a692681f
2026-04-28T16:02:32.450529Z,SOL/USDT,83.480000,0.047474,0.021164,0.05,9996.75,-0.000325,False,False,810,0.522538,0.500000,0.999340,4f424b0f
2026-04-28T20:02:34.070698Z,ETH/USDT,2301.790000,0.092903,0.417937,32.21,9996.84,-0.000316,False,False,3250,0.524044,0.500000,0.992927,7d61a58e
2026-04-28T20:02:34.899960Z,BTC/USDT,76329.700000,0.096676,0.474110,14.55,9945.90,-0.005410,False,False,826,0.120000,1.000000,0.986269,93966f40
2026-04-28T20:02:35.692035Z,SOL/USDT,83.900000,0.116151,0.046481,0.71,9997.46,-0.000254,False,False,791,0.516528,0.500000,0.999350,d7214439
2026-04-29T00:02:30.984436Z,ETH/USDT,2289.240000,0.118943,0.414982,-20.00,9976.84,-0.002316,False,False,970,0.524317,0.500000,0.999369,7cefc3fc
2026-04-29T00:02:31.783107Z,BTC/USDT,76342.200000,0.206756,0.466140,0.04,9945.94,-0.005406,False,False,798,0.120000,1.000000,0.989179,51b007a6
2026-04-29T00:02:32.546199Z,SOL/USDT,84.070000,0.090932,0.043690,0.76,9998.23,-0.000177,False,False,762,0.516162,0.500000,0.999493,2f33f23b
2026-04-29T04:02:34.092933Z,ETH/USDT,2311.630000,0.161138,0.399436,34.62,10011.46,0.000000,False,False,3262,0.525332,0.500000,0.995368,b1e15575
2026-04-29T04:02:34.889147Z,BTC/USDT,76990.300000,0.114333,0.465877,33.42,9979.36,-0.002064,False,False,794,0.120000,1.000000,0.989188,89283333
2026-04-29T04:02:35.678406Z,SOL/USDT,84.580000,0.088359,0.042249,2.25,10000.47,0.000000,False,False,789,0.516507,0.500000,0.999645,7e7f01e6
